Country	Lat	Long_	Country/State	Lat_state_country	Long_state_country	Population
Romania	45.9432	24.9668	N/A	45.9432	24.9668	19237682
Rwanda	-1.9403	29.8739	N/A	-1.9403	29.8739	12952209
Saint Lucia	13.9094	-60.9789	N/A	13.9094	-60.9789	183629
Saint Vincent and the Grenadines	12.9843	-61.2872	N/A	12.9843	-61.2872	110947
Saudi Arabia	23.885942	45.079162	N/A	23.885942	45.079162	34813867
Senegal	14.4974	-14.4524	N/A	14.4974	-14.4524	16743930
Serbia	44.0165	21.0059	N/A	44.0165	21.0059	8737370
Seychelles	-4.6796	55.492	N/A	-4.6796	55.492	98340
Singapore	1.2833	103.8333	N/A	1.2833	103.8333	5850343
Slovakia	48.669	19.699	N/A	48.669	19.699	5459643
Slovenia	46.1512	14.9955	N/A	46.1512	14.9955	2078932
Somalia	5.152149	46.199616	N/A	5.152149	46.199616	15893219
South Africa	-30.5595	22.9375	N/A	-30.5595	22.9375	59308690
Spain	40.463667	-3.74922	N/A	40.463667	-3.74922	46754783
Sri Lanka	7.873054	80.771797	N/A	7.873054	80.771797	21413250
West Bank and Gaza	31.9522	35.2332	N/A	31.9522	35.2332	5101416
Sudan	12.8628	30.2176	N/A	12.8628	30.2176	43849269
Suriname	3.9193	-56.0278	N/A	3.9193	-56.0278	586634
Sweden	60.128161	18.643501	N/A	60.128161	18.643501	10099270
Switzerland	46.8182	8.2275	N/A	46.8182	8.2275	8654618
Thailand	15.870032	100.992541	N/A	15.870032	100.992541	69799978
Timor-Leste	-8.874217	125.727539	N/A	-8.874217	125.727539	1318442
Togo	8.6195	0.8248	N/A	8.6195	0.8248	8278737
Trinidad and Tobago	10.6918	-61.2225	N/A	10.6918	-61.2225	1399491
Tunisia	33.886917	9.537499	N/A	33.886917	9.537499	11818618
Turkey	38.9637	35.2433	N/A	38.9637	35.2433	84339067
Uganda	1.373333	32.290275	N/A	1.373333	32.290275	45741000
Ukraine	48.3794	31.1656	N/A	48.3794	31.1656	43733759
United Arab Emirates	23.424076	53.847818	N/A	23.424076	53.847818	9890400
United Kingdom	55.3781	-3.436	N/A	37.64155686	-31.984938	67886004
Uruguay	-32.5228	-55.7658	N/A	-32.5228	-55.7658	3473727
US	32.50313253	-85.32310505	Alabama	32.75	-86.75	4903185
US	51.79133715	-123.1430035	Alaska	64	-150	731545
US	-14.271	-170.132	American Samoa	14.271	170.1322	55641
US	31.57115966	-104.4967801	Arizona	34.5	-111.5	7278717
US	34.19561129	-90.63099989	Arkansas	34.75	-92.5	3017825
US	36.6390067	-118.1193556	California	37.25	-119.75	39512223
US	38.25558367	-103.496344	Colorado	39	-105.5	5758736
US	36.9899379	-64.5838486	Connecticut	41.6227	-72.7028	3565287
US	29.33195762	-56.64992809	Delaware	38.6716	-75.4165	973764
US	38.90417773	-77.01655992	District of Columbia	38.91	-77	705749
US	28.27490529	-81.07566622	Florida	28.42	-81.55	21477737
US	32.60216875	-83.04665508	Georgia	32.1598	-83.4715	10617423
US	13.4443	144.7937	Guam	13.4443	144.7937	165718
US	16.79251798	-125.9315646	Hawaii	20.79	-156.34	1415872
US	43.96710119	-114.4270847	Idaho	44.0739	-114.542	1787147
US	39.53484503	-87.45090539	Illinois	40	-89.25	12671821
US	39.89150922	-86.16775797	Indiana	40	-86.25	6732219
US	41.21996962	-91.47892486	Iowa	42	-93.5	3155070
US	38.39499853	-96.662469	Kansas	38.5	-98.5	2913314
US	37.19901328	-84.12824026	Kentucky	37.79	-84.87	4467673
US	30.54354212	-90.30568794	Louisiana	30.6935	-92.241	4648794
US	40.99162499	-64.49874688	Maine	45.5	-69.24	1344212
US	39.01274478	-76.61322243	Maryland	39.4444	-77.0834	6045680
US	39.16379998	-66.46440351	Massachusetts	42.3616	-72.1839	6949503
US	42.44558316	-82.53538169	Michigan	43.1045	-84.6165	9986857
US	44.25672151	-92.37811347	Minnesota	46.25	-94.25	5639632
US	32.8821384	-89.66553384	Mississippi	33.503	-89.8071	2976149
US	37.73617518	-91.04629021	Missouri	38.25	-92.5	6137428
US	46.87165691	-111.6317823	Montana	47	-109.75	1068778
US	39.32003479	-93.55767235	Nebraska	41.5	-99.75	1934408
US	35.40023943	-105.8069327	Nevada	39.25	-116.75	3080156
US	39.00990961	-64.44702347	New Hampshire	43.66	-71.49	1359711
US	38.45523905	-71.23052018	New Jersey	40.16	-74.49	8882190
US	34.70879021	-105.926325	New Mexico	34.5	-106	2096829
US	41.92169368	-74.20515051	New York	43	-75.49	19453561
